plot,before,after,treatment
1,control,removal,control_removal
2,control,krat,control_krat
3,krat,krat,krat_krat
4,control,control,control_control
5,removal,control,removal_control
6,krat,control,krat_control
7,removal,control,removal_control
8,control,krat,control_krat
9,control,removal,control_removal
10,removal,removal,removal_removal
11,control,control,control_control
12,control,removal,control_removal
13,krat,control,krat_control
14,control,control,control_control
15,krat,krat,krat_krat
16,removal,removal,removal_removal
17,control,control,control_control
18,krat,control,krat_control
19,krat,krat,krat_krat
20,krat,krat,krat_krat
21,krat,krat,krat_krat
22,control,krat,control_krat
23,removal,removal,removal_removal
24,removal,control,removal_control
